状态,文件路径,分类目录,功能/玩法分类,所属模块,备注,需要主团队评估
Both,.gitattributes,UnMatched,UnMatched,,,
Both,.gitignore,UnMatched,UnMatched,,,
Both,WeA/build.gradle,Dir_Root,Root,LetsGo,,
Both,WeA/common/build.gradle,Dir_Root,Root,LetsGo,,
Both,WeA/common/src/main/cpp/ApolloApi.cpp,C++公共代码,C++公共代码,公共库,,
Both,WeA/common/src/main/cpp/TbusppApi.cpp,C++公共代码,C++公共代码,公共库,,
Both,WeA/common/src/main/cpp/com_tencent_tbuspp_TbusppApi.h,C++公共代码,C++公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/activity/ActivityConfigUtil.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/ailab/metaai/match/MetaAiRpcManager.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/ainpc/AiNpcConst.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/ainpc/AiNpcUtil.java,Java公共代码,Java公共代码,公共库,,
Only B,WeA/common/src/main/java/com/tencent/analyze/AnalyzeApi.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/api/Battle.java,WeA/common/src/main/java/com/tencent/api,api,公共库,,
Both,WeA/common/src/main/java/com/tencent/api/Item.java,WeA/common/src/main/java/com/tencent/api,api,公共库,,
Both,WeA/common/src/main/java/com/tencent/api/Mall.java,WeA/common/src/main/java/com/tencent/api,api,公共库,,
Both,WeA/common/src/main/java/com/tencent/api/Relation.java,WeA/common/src/main/java/com/tencent/api,api,公共库,,
Both,WeA/common/src/main/java/com/tencent/arena/randomEvent/ArenaRandomEventInfo.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/blackoperate/BlackOperateUtil.java,Java公共代码,Java公共代码,公共库,,
Both,WeA/common/src/main/java/com/tencent/cache/CacheNode.java,WeA/common/src/main/java/com/tencent/cache,cache,公共库,,
Both,WeA/common/src/main/java/com/tencent/cache/CacheUtil.java,WeA/common/src/main/java/com/tencent/cache,cache,公共库,,
Both,WeA/common/src/main/java/com/tencent/cache/RedisIns.java,WeA/common/src/main/java/com/tencent/cache,cache,公共库,,
Both,WeA/common/src/main/java/com/tencent/cache/Stat.java,WeA/common/src/main/java/com/tencent/cache,cache,公共库,,
Both,WeA/common/src/main/java/com/tencent/cachelock/CacheLockAgent.java,WeA/common/src/main/java/com/tencent/cache,cache,公共库,,
